Gene	Num_Studies	Studies	Response	SB_count	SB_Response_Summary	SB_Ind_Responses	SB_CellFrac	TCPOBOP_count	TCPOBOP_Response_Summary	TCPOBOP_Ind_Responses	TCPOBOP_CellFrac	Background
SLC41A1	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_0_FC_2	0	NotSexBiased	NA	NA	1	Induced_Female_Up_T27	F_U_T27	0000002020	FALSE
SLC41A2	2	L17:M19	L17_M27_D:M19_5_Robust_M	1	SexBiased_Male	M	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
SLC43A1	2	G21_TCPOBOP:L17	G21_TCPOBOP_Down_AC_4_FC_2:L17_M27_D	0	NotSexBiased	NA	NA	2	Induced_Both_Down_T27	B_D_T27,M_D_T27	0111101010	FALSE
SLC44A1	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC44A3	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_0_FC_2	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T27	F_D_T27	0000010010	FALSE
SLC45A3	3	G21_TCPOBOP:G22:M19	G21_TCPOBOP_Down_AC_1_FC_0:G22_200000000:M19_2_WeakMismatch_F	2	Conflict	F,C	NA	1	Induced_Male_Down_T27	M_D_T27	0000100000	FALSE
SLC45A4	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC46A3	2	L17:M19	L17_M27_D:M19_1_Weak_M	1	SexBiased_Male	M	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
SLC47A1	1	M19	M19_3_Weak_F	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
SLC48A1	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC4A1	1	M19	M19_0_Weak_M	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
SLC4A1AP	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC4A4	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_3_FC_2	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	B_D_T27	0101110010	FALSE
